Symbol,Signal_Type,Signal_date,Signal_Price,Signal_Rank,ret_1w,ret_1w_price,ret_1w_date,ret_2w,ret_2w_price,ret_2w_date,ret_1m,ret_1m_price,ret_1m_date,ret_3m,ret_3m_price,ret_3m_date,ret_6m,ret_6m_price,ret_6m_date,ret_1y,ret_1y_price,ret_1y_date,ret_sinceSignal,current_price,current_date,ret_1w_perc,ret_2w_perc,ret_1m_perc,ret_3m_perc,ret_6m_perc,ret_1y_perc,ret_sinceSignal_perc,Updated_Signal_Price
20MICRONS,Golden cross,2025-07-17,254.0,4,6.43,270.3299865722656,2025-07-24 00:00:00,-7.69,234.47000122070312,2025-07-31 00:00:00,-10.47,227.39999389648438,2025-08-18 00:00:00,-14.98,215.9600067138672,2025-10-15 00:00:00,,,,,,,-18.21,207.74000549316406,2025-10-30 00:00:00,6.43,-7.69,-10.47,-14.98,,,-18.21,254.0
20MICRONS,Golden cross,2025-07-16,259.0,3,6.86,276.7799987792969,2025-07-23 00:00:00,-5.46,244.85000610351562,2025-07-30 00:00:00,-12.2,227.39999389648438,2025-08-18 00:00:00,-17.18,214.5,2025-10-14 00:00:00,,,,,,,-19.79,207.74000549316406,2025-10-30 00:00:00,6.86,-5.46,-12.2,-17.18,,,-19.79,259.0
20MICRONS,Golden cross,2025-06-17,237.0,6,-4.12,227.24371337890625,2025-06-24 00:00:00,-2.58,230.897216796875,2025-07-01 00:00:00,7.12,253.86349487304688,2025-07-17 00:00:00,-4.95,225.27000427246094,2025-09-15 00:00:00,,,,,,,-12.35,207.74000549316406,2025-10-30 00:00:00,-4.12,-2.58,7.12,-4.95,,,-12.35,236.0
360ONE,Golden cross,2025-06-12,1081.0,5,2.57,1108.7608642578125,2025-06-19 00:00:00,7.21,1158.9554443359375,2025-06-26 00:00:00,9.36,1182.187255859375,2025-07-14 00:00:00,-0.78,1072.544921875,2025-09-10 00:00:00,,,,,,,3.57,1119.5999755859375,2025-10-30 00:00:00,2.57,7.21,9.36,-0.78,,,3.57,1076.0
3MINDIA,Accumulation Signal,2025-08-07,32000.0,4,-5.16,30350.0,2025-08-14 00:00:00,-3.52,30875.0,2025-08-21 00:00:00,-3.64,30835.0,2025-09-08 00:00:00,,,,,,,,,,-7.75,29520.0,2025-10-31 00:00:00,-5.16,-3.52,-3.64,,,,-7.75,32000.0
3MINDIA,Accumulation Signal,2025-08-01,30905.0,4,2.3,31615.0,2025-08-08 00:00:00,-1.62,30405.0,2025-08-18 00:00:00,1.26,31295.0,2025-09-01 00:00:00,-3.37,29865.0,2025-10-30 00:00:00,,,,,,,-4.48,29520.0,2025-10-31 00:00:00,2.3,-1.62,1.26,-3.37,,,-4.48,30905.0
3MINDIA,Accumulation Signal,2025-07-29,30915.0,8,-0.26,30835.0,2025-08-05 00:00:00,0.36,31025.0,2025-08-12 00:00:00,-1.42,30475.0,2025-08-28 00:00:00,-2.91,30015.0,2025-10-27 00:00:00,,,,,,,-4.51,29520.0,2025-10-31 00:00:00,-0.26,0.36,-1.42,-2.91,,,-4.51,30915.0
3MINDIA,Golden cross,2025-09-08,30835.0,5,-0.84,30575.0,2025-09-15 00:00:00,-2.79,29975.0,2025-09-22 00:00:00,-5.3,29200.0,2025-10-08 00:00:00,,,,,,,,,,-4.26,29520.0,2025-10-31 00:00:00,-0.84,-2.79,-5.3,,,,-4.26,30835.0
3PLAND,Golden cross,2025-06-02,52.0,11,5.77,55.0,2025-06-09 00:00:00,3.98,54.06999969482422,2025-06-16 00:00:00,-1.27,51.34000015258789,2025-07-02 00:00:00,-12.85,45.31999969482422,2025-09-01 00:00:00,,,,,,,-16.98,43.16999816894531,2025-10-31 00:00:00,5.77,3.98,-1.27,-12.85,,,-16.98,52.0
3PLAND,Golden cross,2025-05-30,48.0,16,9.77,52.689998626708984,2025-06-06 00:00:00,10.35,52.970001220703125,2025-06-13 00:00:00,6.08,50.91999816894531,2025-06-30 00:00:00,-5.94,45.150001525878906,2025-08-28 00:00:00,,,,,,,-10.06,43.16999816894531,2025-10-31 00:00:00,9.77,10.35,6.08,-5.94,,,-10.06,48.0
