Symbol,Signal_Type,Signal_date,Signal_Price,Updated_Signal_Price,Signal_Rank,ret_1w,ret_1w_price,ret_1w_date,ret_2w,ret_2w_price,ret_2w_date,ret_1m,ret_1m_price,ret_1m_date,ret_3m,ret_3m_price,ret_3m_date,ret_6m,ret_6m_price,ret_6m_date,ret_1y,ret_1y_price,ret_1y_date,ret_sinceSignal,current_price,current_date,ret_1w_perc,ret_2w_perc,ret_1m_perc,ret_3m_perc,ret_6m_perc,ret_1y_perc,ret_sinceSignal_perc
20MICRONS,Golden cross,2025-07-17,254.0,254.0,4,6.43,270.3299865722656,2025-07-24,-7.69,234.47000122070312,2025-07-31,-10.47,227.39999389648438,2025-08-18,-14.98,215.9600067138672,2025-10-15,,,,,,,-16.06,213.2100067138672,2025-11-07,6.43,-7.69,-10.47,-14.98,,,-16.06
20MICRONS,Golden cross,2025-07-16,259.0,259.0,3,6.86,276.7799987792969,2025-07-23,-5.46,244.85000610351562,2025-07-30,-12.2,227.39999389648438,2025-08-18,-17.18,214.5,2025-10-14,,,,,,,-17.68,213.2100067138672,2025-11-07,6.86,-5.46,-12.2,-17.18,,,-17.68
20MICRONS,Golden cross,2025-07-16,259.0,259.0,2,6.86,276.7799987792969,2025-07-23,-5.46,244.85000610351562,2025-07-30,-12.2,227.39999389648438,2025-08-18,-17.18,214.5,2025-10-14,,,,,,,-17.68,213.2100067138672,2025-11-07,6.86,-5.46,-12.2,-17.18,,,-17.68
20MICRONS,Golden cross,2025-06-17,237.0,236.0,6,-3.71,227.24371337890625,2025-06-24,-2.16,230.897216796875,2025-07-01,7.57,253.86349487304688,2025-07-17,-4.55,225.27000427246094,2025-09-15,,,,,,,-9.66,213.2100067138672,2025-11-07,-3.71,-2.16,7.57,-4.55,,,-9.66
360ONE,Golden cross,2025-06-12,1081.0,1076.0,5,3.04,1108.7608642578125,2025-06-19,7.71,1158.9554443359375,2025-06-26,9.87,1182.187255859375,2025-07-14,-0.32,1072.544921875,2025-09-10,,,,,,,-0.93,1066.0,2025-11-07,3.04,7.71,9.87,-0.32,,,-0.93
3MINDIA,Accumulation Signal,2025-08-07,32000.0,32000.0,4,-5.16,30350.0,2025-08-14,-3.52,30875.0,2025-08-21,-3.64,30835.0,2025-09-08,12.14,35885.0,2025-11-05,,,,,,,11.19,35580.0,2025-11-07,-5.16,-3.52,-3.64,12.14,,,11.19
3MINDIA,Accumulation Signal,2025-08-01,30905.0,30905.0,4,2.3,31615.0,2025-08-08,-1.62,30405.0,2025-08-18,1.26,31295.0,2025-09-01,-3.37,29865.0,2025-10-30,,,,,,,15.13,35580.0,2025-11-07,2.3,-1.62,1.26,-3.37,,,15.13
3MINDIA,Accumulation Signal,2025-07-29,30915.0,30915.0,8,-0.26,30835.0,2025-08-05,0.36,31025.0,2025-08-12,-1.42,30475.0,2025-08-28,-2.91,30015.0,2025-10-27,,,,,,,15.09,35580.0,2025-11-07,-0.26,0.36,-1.42,-2.91,,,15.09
3MINDIA,Golden cross,2025-11-04,35885.0,35885.0,1,,,,,,,,,,,,,,,,,,,-0.85,35580.0,2025-11-07,,,,,,,-0.85
3MINDIA,Golden cross,2025-09-08,30835.0,30835.0,5,-0.84,30575.0,2025-09-15,-2.79,29975.0,2025-09-22,-5.3,29200.0,2025-10-08,,,,,,,,,,15.39,35580.0,2025-11-07,-0.84,-2.79,-5.3,,,,15.39
3PLAND,Golden cross,2025-06-02,52.0,52.0,11,5.77,55.0,2025-06-09,3.98,54.06999969482422,2025-06-16,-1.27,51.34000015258789,2025-07-02,-12.85,45.31999969482422,2025-09-01,,,,,,,-20.85,41.15999984741211,2025-11-07,5.77,3.98,-1.27,-12.85,,,-20.85
3PLAND,Golden cross,2025-05-30,48.0,48.0,16,9.77,52.689998626708984,2025-06-06,10.35,52.970001220703125,2025-06-13,6.08,50.91999816894531,2025-06-30,-5.94,45.150001525878906,2025-08-28,,,,,,,-14.25,41.15999984741211,2025-11-07,9.77,10.35,6.08,-5.94,,,-14.25
AARTIDRUGS,Golden cross,2025-07-02,484.0,484.0,4,-1.37,477.3500061035156,2025-07-09,7.49,520.25,2025-07-16,1.13,489.45001220703125,2025-08-01,0.52,486.5,2025-09-30,,,,,,,1.54,491.45001220703125,2025-11-07,-1.37,7.49,1.13,0.52,,,1.54
